2025-04-13 21:55:54,187 - INFO - Epoch 1, Batch 103: Loss = 0.7758, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,241 - INFO - Epoch 1, Batch 104: Loss = 2.3960, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,298 - INFO - Epoch 1, Batch 105: Loss = 1.0248, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,352 - INFO - Epoch 1, Batch 106: Loss = 1.1401, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,406 - INFO - Epoch 1, Batch 107: Loss = 0.9226, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,459 - INFO - Epoch 1, Batch 108: Loss = 3.4381, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,518 - INFO - Epoch 1, Batch 109: Loss = 2.6891, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,573 - INFO - Epoch 1, Batch 110: Loss = 2.0562, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,630 - INFO - Epoch 1, Batch 111: Loss = 1.9436, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,688 - INFO - Epoch 1, Batch 112: Loss = 2.7126, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,742 - INFO - Epoch 1, Batch 113: Loss = 1.1471, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,794 - INFO - Epoch 1, Batch 114: Loss = 1.4805, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,848 - INFO - Epoch 1, Batch 115: Loss = 1.3371, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,901 - INFO - Epoch 1, Batch 116: Loss = 3.1789, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
